date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class C,Virginia,Richmond,"Richmond,Virginia",40060,G2-40060,1402078.0,142943.424,100060.39679999999,42883.02720000001,0.04873501207641673,0.050477007830070295,0.07150000000000001,-0.021022992169929713,58.67537111043895,0.13675078763623816,14817.35258465146,1.902490333204025,0.9186684139691844,-0.003851059199009188,-0.0005038806544636065,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,New York,Rochester,"Rochester,New York",40380,G2-40380,1079852.0,387265.9487,271086.16409,116179.78461000003,0.05280609566466454,0.028777225740188567,0.07150000000000001,-0.04272277425981144,65.95030426979093,0.0915954320588106,12734.999076007836,1.623544075392703,0.9492285400116717,0.012856338917969001,0.015100027961800766,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,New York,Rochester,"Rochester,New York",40380,G2-40380,1079852.0,159994.188,111995.9316,47998.2564,0.052178303749575106,0.05928204861577235,0.07150000000000001,-0.012217951384227661,66.12755358219106,0.1673420550063911,24664.245348058255,2.1191185271739394,0.9492261132858184,0.009575968872154839,0.008057996695652214,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,New York,Rochester,"Rochester,New York",40380,G2-40380,1079852.0,85247.8625,59673.503749999996,25574.358750000007,0.051328092248853485,0.08316887234647627,0.07150000000000001,0.011668872346476261,66.57347083091707,0.2278093336098661,21112.13404429496,2.4998929691536174,0.9508948936616771,-0.0005509931739587914,-0.0002033799368729161,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,California,Sacramento,"Sacramento,California",40900,G2-40900,2470517.0,345809.1125,242066.37874999997,103742.73375000001,0.05290833306562526,0.03793854174713165,0.0715,-0.03356145825286835,47.705769538878975,0.11472345030827591,24377.733656096447,1.7783264816122504,0.925790376955187,0.02134921799652245,0.0066461210300479134,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,California,Sacramento,"Sacramento,California",40900,G2-40900,2470517.0,256120.1736,179284.12152,76836.05208000002,0.05187431536532516,0.04365404090343729,0.07150000000000001,-0.02784595909656272,48.03027957677799,0.12660925379103505,22853.02880865935,1.8524457264026741,0.9337715589952603,0.010388246066398876,0.007913390615650107,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,California,Sacramento,"Sacramento,California",40900,G2-40900,2470517.0,189739.3043,132817.51301,56921.791289999994,0.05217172026240213,0.046928398008294236,0.07150000000000001,-0.02457160199170577,48.177763819695,0.13565101223208198,19701.778623529703,1.9130898706993464,0.9504945870949219,-0.0004937545294518841,-0.00043453915257762876,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Missouri,Saint Louis,"Saint Louis,Missouri",41180,G2-41180,2814330.0,234745.517,164321.8619,70423.6551,0.048792005750867284,0.04065530033967917,0.07150000000000001,-0.030844699660320836,61.15235388279003,0.11158561709253334,15018.80638724305,1.7399443820673164,0.8901296912802299,0.03321297169049742,0.02785397229007258,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Missouri,Saint Louis,"Saint Louis,Missouri",41180,G2-41180,2814330.0,153086.2295,107160.36064999999,45925.86885,0.04957141097388096,0.04823688897088256,0.07150000000000001,-0.023263111029117448,61.67680025100694,0.13285155037909258,15006.712584997353,1.8820445657053206,0.9020691261574934,0.021764621000650353,0.016938289125931316,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Missouri,Saint Louis,"Saint Louis,Missouri",41180,G2-41180,2814330.0,96564.3866,67595.07062,28969.31598,0.04853578979102258,0.05942900803867955,0.07150000000000001,-0.012070991961320457,62.31315433979007,0.159534465809547,13441.000414108992,2.0476753442094147,0.909293633019173,-0.0002116944254472175,-0.00034076982079345175,5 Yrs Ahead (2025-2030)
